City Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Windspeed (mph),Country,Date
harbour breton,47.4833,-55.7983,40.32,78,99,28.21,CA,1618355284
punta arenas,-53.15,-70.9167,50.0,87,100,9.22,CL,1618355240
hobart,-42.8794,147.3294,61.0,51,40,21.85,AU,1618355285
bandarbeyla,9.4942,50.8122,79.03,75,47,8.16,SO,1618355285
rikitea,-23.1203,-134.9692,77.68,66,11,7.92,PF,1618355232
ardakan,32.31,54.0175,66.2,42,90,16.11,IR,1618355286
chuy,-33.6971,-53.4616,60.44,75,0,4.47,UY,1618355287
mataura,-46.1927,168.8643,53.01,93,100,5.99,NZ,1618355228
ushuaia,-54.8,-68.3,46.4,66,90,20.71,AR,1618355217
ixtapa,20.7,-105.2,81.0,65,1,13.8,MX,1618355289
upernavik,72.7868,-56.1549,5.95,95,100,8.75,GL,1618355276
tasiilaq,65.6145,-37.6368,30.2,80,37,10.36,GL,1618354991
ponta do sol,32.6667,-17.1,62.01,88,16,1.01,PT,1618355290
cape town,-33.9258,18.4232,64.99,94,20,12.66,ZA,1618355290
dikson,73.5069,80.5464,-3.03,96,96,12.59,RU,1618355291
necochea,-38.5473,-58.7368,66.43,63,0,5.99,AR,1618355292
hilo,19.7297,-155.09,80.6,54,40,10.36,US,1618355134
sambava,-14.2667,50.1667,75.69,88,100,8.95,MG,1618355293
port alfred,-33.5906,26.891,71.46,87,53,3.42,ZA,1618355293
port elizabeth,-33.918,25.5701,66.2,94,90,11.5,ZA,1618355244
tiksi,71.6872,128.8694,16.41,77,93,10.8,RU,1618355294
nikolskoye,59.7035,30.7861,41.0,70,40,15.66,RU,1618355295
micheweni,-4.9667,39.8333,79.25,81,99,12.08,TZ,1618355295
tarakeswar,22.885,88.0172,82.4,83,40,6.91,IN,1618355296
luderitz,-26.6481,15.1594,78.49,33,0,7.7,NA,1618355296
puerto ayora,-0.7393,-90.3518,80.6,78,75,8.05,EC,1618355297
megion,61.0296,76.1136,33.8,86,0,4.47,RU,1618355297
ugoofaaru,5.6667,73.0,83.26,67,39,0.87,MV,1618355298
hithadhoo,-0.6,73.0833,82.49,66,98,8.3,MV,1618355299
albany,42.6001,-73.9662,64.4,45,75,1.99,US,1618355300
itaituba,-4.2761,-55.9836,75.36,96,100,1.77,BR,1618355171
mar del plata,-38.0023,-57.5575,69.8,64,0,3.44,AR,1618355062
vaini,-21.2,-175.2,78.8,78,20,9.22,TO,1618355303
new norfolk,-42.7826,147.0587,60.01,84,78,4.0,AU,1618355303
yellowknife,62.456,-114.3525,37.0,75,75,10.36,CA,1618355261
khatanga,71.9667,102.5,23.23,95,100,14.05,RU,1618355304
puerto quijarro,-17.7833,-57.7667,80.13,54,12,4.12,BO,1618355305
hrubieszow,50.805,23.8925,36.82,94,100,10.58,PL,1618355297
qasigiannguit,68.8193,-51.1922,24.8,93,90,12.66,GL,1618355306
guerrero negro,27.9769,-114.0611,63.68,61,28,21.32,MX,1618355307
yueyang,29.3333,113.0919,59.11,93,99,14.47,CN,1618355308
carnarvon,-24.8667,113.6333,67.41,49,0,23.89,AU,1618355308
bredasdorp,-34.5322,20.0403,62.6,88,7,3.44,ZA,1618355246
chokurdakh,70.6333,147.9167,2.68,87,10,4.97,RU,1618355274
bilibino,68.0546,166.4372,2.57,59,97,1.32,RU,1618355310
isangel,-19.55,169.2667,82.4,78,20,4.0,VU,1618355310
thompson,55.7435,-97.8558,28.4,40,75,16.11,CA,1618355072
mahibadhoo,3.7833,72.9667,82.18,73,59,6.15,MV,1618355311
chapais,49.7834,-74.8492,59.0,44,1,6.91,CA,1618355312
